,,,,,,,,
,IndModel.adj.pvals,no.pathology.mean,pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models
PDE3B,0.001995071,0.447168887,0.383327018,-0.222244122,-3.245869794,0.001170924,FALSE,FALSE
NTM,0.002264416,6.059620331,5.776182154,-0.069111165,-2.526103381,0.011533554,FALSE,FALSE
KATNAL2,0.0024151,0.233625032,0.193623703,-0.270939284,-2.636033448,0.008388146,TRUE,FALSE
HTATSF1,0.002509151,0.026135765,0.009708517,-1.428702525,-3.63405358,0.000279003,TRUE,TRUE
SLC25A26,0.002679917,0.172128382,0.120896271,-0.509715254,-2.92988125,0.003390916,TRUE,FALSE
SNED1,0.002753019,0.153638959,0.248194515,0.691927137,3.087806181,0.002016399,TRUE,FALSE
DDX17,0.002786005,0.91998819,1.131796026,0.29892673,5.243206623,1.58E-07,TRUE,TRUE
FAM153C,0.002921316,0.036051361,0.02028793,-0.829432068,-3.058445811,0.002224883,TRUE,FALSE
C1orf61,0.003025582,0.909478036,0.805987219,-0.174281835,-1.240931327,0.214631119,FALSE,FALSE
NRD1,0.003084991,0.287879172,0.225607179,-0.351650438,-2.769150311,0.00562027,TRUE,FALSE
CLASP2,0.003146772,0.916869528,0.809855316,-0.179052262,-3.001829146,0.002683627,FALSE,FALSE
PLEKHA5,0.003146772,0.344622469,0.497918703,0.530893442,4.59833701,4.26E-06,TRUE,TRUE
PBX1,0.003156823,0.782151958,0.654525921,-0.256998597,-1.444206011,0.148681034,TRUE,FALSE
MGST1,0.003169522,0.835164074,0.720928472,-0.212203527,-1.249335447,0.211542408,FALSE,FALSE
SRSF5,0.003203173,0.40203855,0.330290587,-0.283597987,-2.374211156,0.01758649,TRUE,FALSE
SPTBN1,0.003270387,0.687214871,0.583964638,-0.234880247,-2.09288688,0.036359254,FALSE,FALSE
ACAT1,0.003405292,0.101365503,0.062137982,-0.706019475,-3.189220193,0.001426572,TRUE,FALSE
CADPS,0.003646407,0.177027866,0.134889829,-0.392194897,-2.664135057,0.007718657,TRUE,FALSE
ZIC1,0.003663196,0.293987962,0.220353638,-0.415936367,-3.140403713,0.001687152,TRUE,FALSE
SYP,0.003663196,0.087647815,0.061443831,-0.512449967,-2.251502761,0.024353712,TRUE,FALSE
FMN1,0.003663196,0.040517121,0.019617208,-1.046411973,-3.197599922,0.001385764,TRUE,FALSE
SLC17A5,0.003683727,0.08416492,0.059181559,-0.508071331,-2.886927137,0.003890243,TRUE,FALSE
SH3RF1,0.003729317,0.341827015,0.284399279,-0.265348612,-2.3645084,0.018054018,TRUE,FALSE
MAP2K4,0.003729317,0.173074528,0.125279302,-0.466245337,-3.618082842,0.000296793,TRUE,TRUE
PILRB,0.003820134,0.107263618,0.085971118,-0.319236845,-2.12025281,0.033984731,TRUE,FALSE
ASAP2,0.004008521,0.356776836,0.31319352,-0.187967585,-2.302946837,0.021281834,FALSE,FALSE
PEX5L,0.004111709,0.124215615,0.084628922,-0.553623856,-4.130490267,3.62E-05,TRUE,TRUE
ITGB4,0.004184238,0.290104652,0.39549511,0.44708643,4.478303151,7.52E-06,TRUE,TRUE
DMGDH,0.004191645,0.172594639,0.130207863,-0.406571073,-3.509231516,0.000449404,TRUE,FALSE
ABI1,0.004285831,0.459804541,0.403829123,-0.187275756,-2.568640824,0.010209822,FALSE,FALSE
GALT,0.004403328,0.023038706,0.009548028,-1.270784996,-3.189691322,0.001424248,TRUE,FALSE
SLC38A2,0.004646959,0.088341265,0.169530028,0.940381436,3.804420982,0.000142136,TRUE,TRUE
PDE6B,0.005451719,0.029634008,0.01181513,-1.326618319,-2.845023694,0.004440812,TRUE,FALSE
NHSL1,0.005656653,1.066676806,0.952599072,-0.16318207,-1.733037204,0.083089056,FALSE,FALSE
ACTR3B,0.00584997,0.10393648,0.074128199,-0.487607738,-3.033529517,0.002417111,TRUE,FALSE
IDH1,0.005924491,0.131711616,0.099576165,-0.403510239,-2.85945206,0.004243736,TRUE,FALSE
LRRC1,0.005971286,0.173533738,0.113293114,-0.615156002,-3.282129082,0.001030264,TRUE,FALSE
SCAF8,0.005974418,0.20682022,0.175287256,-0.238656126,-2.084968792,0.037072133,FALSE,FALSE
SRGAP3,0.006115016,0.544658344,0.480014531,-0.182273453,-2.280346128,0.022587168,FALSE,FALSE
NMRAL1,0.006178323,0.069944391,0.048000452,-0.543160372,-3.204607527,0.001352468,TRUE,FALSE
WIPF1,0.006239256,0.094777547,0.060112464,-0.656881157,-2.282213666,0.022476729,TRUE,FALSE
ZCCHC7,0.006239256,0.412222584,0.349028263,-0.240079679,-3.180019689,0.00147265,FALSE,FALSE
FER1L5,0.006633017,0.023562267,0.008117763,-1.537324154,-3.24772253,0.001163327,TRUE,FALSE
ATP6AP1L,0.006839319,0.191072632,0.15472525,-0.304412501,-3.28824609,0.001008137,TRUE,FALSE
AIMP2,0.006840921,0.040750982,0.020440985,-0.995370149,-3.246050261,0.001170182,TRUE,FALSE
TERF2IP,0.006949428,0.225485898,0.176546031,-0.352992823,-2.45025639,0.014275452,TRUE,FALSE
PRSS23,0.00725248,0.046919745,0.027288124,-0.781921943,-2.733972218,0.006257532,TRUE,FALSE
IFI6,0.007260292,0.070267799,0.03114171,-1.174015555,-0.397808887,0.690771066,TRUE,FALSE
FMNL2,0.007260292,1.659408349,1.479098203,-0.165951108,-1.869839261,0.061506142,FALSE,FALSE
BDH1,0.007260292,0.073518514,0.050663056,-0.537173493,-3.103938401,0.001909631,TRUE,FALSE
PDE4D,0.007260292,1.723723531,1.58121172,-0.124497844,-1.588531288,0.112166252,FALSE,FALSE
XRRA1,0.007260292,0.175986446,0.132967132,-0.40439465,-2.4802679,0.01312837,TRUE,FALSE
CADM1,0.007260292,2.979536783,2.736811032,-0.122592233,-2.403575592,0.01623561,FALSE,FALSE
PHF21B,0.007296829,0.514549848,0.452003014,-0.186978455,-2.927855636,0.003413085,FALSE,FALSE
LRRC3B,0.007303865,0.457793756,0.357689528,-0.355989903,-0.983615351,0.325304674,TRUE,FALSE
PPP1R3C,0.007303865,0.282424053,0.242971769,-0.21707427,-1.256745353,0.20884586,FALSE,FALSE
BZRAP1,0.007404915,0.164319252,0.123342973,-0.41382599,-2.909590679,0.003619024,TRUE,FALSE
PTPN7,0.007414182,0.065692632,0.037366847,-0.813972753,-3.212497327,0.001315864,TRUE,FALSE
FAM196A,0.0075112,0.104548073,0.068088493,-0.618683568,-2.670227867,0.007579979,TRUE,FALSE
RGS4,0.007771478,0.036733301,0.016354518,-1.167399338,-3.231185841,0.001232778,TRUE,FALSE
AQP1,0.007771478,0.082035522,0.172720604,1.074119543,2.97983219,0.002884063,TRUE,FALSE
TULP3,0.007771478,0.349928284,0.278971292,-0.326942615,-1.498130101,0.134099452,TRUE,FALSE
VIMP,0.007771478,0.0944017,0.065652256,-0.52396826,-2.252275774,0.02430485,TRUE,FALSE
SEPT11,0.007867672,0.195873314,0.137917354,-0.506116861,-3.528045779,0.00041864,TRUE,TRUE
LRRTM4,0.00795827,0.580191322,0.494039121,-0.23190343,-2.338337606,0.019369742,FALSE,FALSE
SYN2,0.008060863,0.046571666,0.029236498,-0.671681977,-3.068488841,0.002151444,TRUE,FALSE
ARID1B,0.008062409,0.769459515,0.686494852,-0.164596518,-2.489886761,0.01277838,FALSE,FALSE
EYA1,0.008691152,0.299890025,0.242332642,-0.307444788,-2.611308915,0.009019638,TRUE,FALSE
